PropertyID,Property Type,Bldg Subtype,Address,Address 2,Address 3,Address 4,City,State,Zip,Bldg Name,Business Park,Improvement District,Market,Submarket,Micromarket,Bldg Type,Building Sub Type,Building Sub Specialty,Bldg Class,Bldg Sub-class,Bldg Size,Bldg Status,Office s.f.,Retail s.f.,Occ Rate,Available s.f.,Asking Rent,Leasing Company,Management Company,Primary Owner,Bldg Number,County,Township,Metropolitan Division,Latitude,Longitude,Submarket Cluster,Custom Cluster,Area Type,Prime?,Full Block?,Building Location,Most Expensive Street?,Atrium?,View,Owner Occupied?,Corp. HQ?,Tenancy,Stories,Story Type,Average Floor Plate Size,Core Factor Multi-tenant,Core Factor Single-Tenant,Total Unit Count,Average Unit Size,Studio Units,1 Bed Units,2 Bed Units,3+ Bed Units,Ceiling Height Feet,Ceiling Height Inches,Parking Type,Parking Ratio,Parking Spaces,Trailer Spaces,Parking-Reserved cost,Parking-Unreserved cost,OpEx & Taxes,OpEx,OpEx Year,Taxes,Energy-star?,Energy Efficiency,Parcel Number,Zoning,Parcel Size (acres),Broke Ground Date,Broke Ground Quarter,Broke Ground Year,Build Date,Build Quarter,Build Year,Upgrade Date,Upgrade Quarter,Upgrade Year,Renovated Broke Ground Date,Renovated Broke Ground Quarter,Renovated Broke Ground Year,Renovated Date,Renovated Quarter,Renovated Year,Demolished Date,Demolished Quarter,Demolished Year,Construction Type,Amenities,List Price,For Sale Listing Company,For Sale Comments,Mezzanine?,Core Type,Office Column Spacing Width,Office Column Spacing Depth,Free Trade Zone?,In-fill,Subway Service,Adjacent to Intermodal?,Walk Score,Transit Score,Bike Score,Crime Grade,Mixed Use,Expansion Potential,Industrial AC,Crane Comments,PAGI Report,eCommerce?
27971,Office,Office,1 Pierce Pl,,,,Itasca,Illinois,60143,One Pierce Place,Hamilton Lakes,,Chicago,Northwest,,Office,Office,,A,,"578,737",Existing,"578,737",,76%,"159,474",$21.00,Telos Group,John Buck Company,Sheffield Management,,DuPage,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.987924,-88.016883,Suburban,,Suburban,No,No,,No,Yes,,No,No,Multi-Tenant,16,Mid-Rise,"32,838",,,,,,,,,,,Surface Lot,3.9,2257,,,,$8.83,$6.44,2014,$2.39,Yes,Gold,08-03-402-020,C,,1/1/1982,1,1982,1/1/1984,1,1984,5/23/2019,2,2019,,,,,,,,,,Spec ground-up,"Conference / meeting center, Lounge / Library / Study",,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
3143,Office,Office,1 S Wacker Dr,,,,Chicago,Illinois,60606,One South Wacker,,,Chicago,West Loop,Wacker West,Office,Office,,A,,"1,195,170",Existing,"1,195,170",,86%,"310,530",,NAI Hiffman,JP Morgan Chase & Company,Zaragon Holdings Inc,,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.88164,-87.636287,CBD,,Urban,No,No,,Yes,Yes,Water,No,No,Multi-Tenant,40,Skyscraper,"29,879",,,,,,,,,9,,Underground Garage,0.11,135,,,,$18.00,,2019,,Yes,Gold,,"B6-7, Chicago",,1/1/1979,1,1979,1/1/1982,1,1982,1/1/2000,1,2000,,,,,,,,,,Spec ground-up,"Conference / meeting center, Fitness center, Lounge / Library / Study, Bike storage",,,,No,Center,,,No,,2 Blocks,No,,,,,,No,,,,No
430928,Office,Office,1 Takeda Pkwy,,,,Deerfield,Illinois,60015,Takeda Pharmaceuticals - Bldg 1,,,Chicago,North Lake County,,Office,Office,,A,,"168,000",Existing,,,100%,0,$38.00,Savills,,UHNW Spanish Family Office,,Lake,,,42.154524,-87.877674,Suburban,,,No,No,,No,No,,Yes- Partial,Yes,Single-Tenant,5,Low-Rise,"33,600",,,,,,,,,50,,,2.29,400,,,,,,,,Yes,Gold,"06-26-400-015, 06-26-401-010",,70,,,,10/1/2006,4,2006,,,,,,,,,,,,,,,,,,No,,,,No,,,No,20,26,,,,No,,,,No
430930,Office,Office,1 Takeda Pkwy,,,,Deerfield,Illinois,60015,Takeda Pharmaceuticals - Bldg 3,,,Chicago,North Lake County,,Office,Office,,A,,"259,345",Existing,,,100%,0,$30.16,"PWA Real Estate, LLC",Acadia Realty,Realty Income Corporation,,Lake,,,42.153061,-87.878288,Suburban,,,No,No,,No,No,,Yes- Partial,No,Single-Tenant,5,Low-Rise,"38,000",,,,,,,,,,,,,,,,,,,,,Yes,Gold,07-24-201-015-0000,,70,,,,1/1/2010,1,2010,,,,,,,,,,,,,,,,,,No,,,,No,,,No,20,26,,,,No,,,,No
27976,Office,Office,1 Tower Ln,,,,Oakbrook Terrace,Illinois,60181,Oakbrook Terrace Tower,,,Chicago,Eastern East-West,Oak Brook,Office,Office,,A,,"792,192",Existing,"792,192",,83%,"180,099",$50.65,Newmark Knight Frank,CBRE,The Missner Group,,DuPage,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.858155,-87.95436,Suburban,,Suburban,No,No,,No,Yes,,No,No,Multi-Tenant,31,High-Rise,"25,554",,,,,,,,,,,Surface Lot,3.2,2535,,,,$10.86,$8.67,2016,$2.19,Yes,No,07-33-402-004-0000,B-5; Oakbrook Terrace,,1/1/1985,1,1985,1/1/1987,1,1987,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
27978,Office,Office,1 Westbrook Corporate Ctr,,,,Westchester,Illinois,60154,Westbrook Tower I,Westbrook Corporate Center,,Chicago,Eastern East-West,,Office,Office,,A,,"229,048",Existing,"204,327",,85%,"72,345",$44.00,CBRE,,Beacon Capital Partners,,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.845605,-87.902215,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,10,Mid-Rise,"22,145",,,,,,,,,,,Surface Lot,3.2,200,,,,$11.94,$7.04,2011,$4.91,Yes,No,,R1-PUD,,7/1/1983,3,1983,1/1/1985,1,1985,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
27982,Office,Office,10 N Martingale Rd,,,,Schaumburg,Illinois,60173,Woodfield Preserve I,Woodfield Preserve Office Center,,Chicago,Northwest,Schaumburg,Office,Office,,A,,"304,876",Existing,"304,876",,98%,"83,238",$26.07,Cawley Chicago Commercial Real Estate,Waveland Property Group,AEW Capital Management,,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",42.025755,-88.032473,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,6,Low-Rise,"53,800",,,,,,,,,,,Surface Lot,4,1494,,,,$12.83,$6.23,2018,$6.60,Yes,No,,,,1/1/1998,1,1998,1/1/2000,1,2000,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
27983,Office,Office,10 Parkway N,,,,Deerfield,Illinois,60015,Ten Parkway North,Parkway North Center,,Chicago,North Lake County,,Office,Office,,A,,"99,811",Existing,"99,566",,100%,"9,650",,Cushman & Wakefield,Walgreens,Adams LaSalle Realty,,Lake,,"Lake County-Kenosha County, IL-WI Metropolitan Division",42.163235,-87.882379,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,3,Low-Rise,"33,189",,,,,,,,,,,Surface Lot,4,398,,,,$11.38,$7.49,2014,$3.89,Yes,No,,,,1/1/1999,1,1999,1/1/2000,1,2000,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
3162,Office,Office,10 S Riverside Plz,,,,Chicago,Illinois,60606,10 South Riverside Plaza,West Loop Riverside Plaza Center,,Chicago,West Loop,,Office,Office,,A,-,"705,445",Existing,"705,445",,97%,"33,565",$26.51,Blue Chip Commercial,Nicor Gas dba Southern Company Gas,Lexington Health Care Group,,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.881673,-87.6388,CBD,,Urban,No,Yes,,No,No,Water,No,No,Multi-Tenant,22,High-Rise,"32,066",,,,,,,,,,,No Parking,0.05,0,,,,$19.15,,2019,,Yes,Gold,17-09-200-004-0000,,,1/1/1963,1,1963,1/1/1965,1,1965,,,,,,,1/1/2016,1,2016,,,,Spec ground-up,"Conference / meeting center, Fitness center, Lounge / Library / Study",,,,No,Center,,,No,,3 Blocks or More,No,,,,,,No,,,,No
3163,Office,Office,10 S Wacker Dr,,,,Chicago,Illinois,60606,CME Center,CME Center,,Chicago,West Loop,Wacker West,Office,Office,,A,,"1,200,000",Existing,"1,200,000",,100%,"151,233",,DynaCom Management,Mc Machinery Systems Inc,Piedmont Office Realty Trust,,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.881391,-87.637389,CBD,,Urban,No,Yes,,Yes,No,Water,No,No,Multi-Tenant,40,Skyscraper,"30,000",,,,,,,,,9,,Underground Garage,3,500,,,,$20.30,,2019,,Yes,Gold,17-09-451-039-0000,,,1/1/1984,1,1984,1/1/1983,1,1983,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,Within 1 mile,No,,,,,,No,,,,No
536336,Office,Office,100 Half Day Rd,,,,Lincolnshire,Illinois,60069,,,,Chicago,North Lake County,,Office,Office,,A,,"155,000",Existing,,,100%,0,$24.50,SVN l Chicago Commercial,Ortho Illinois,GLL Real Estate Partners,,Lake,,,42.202143,-87.895197,Suburban,,,No,No,,No,No,,Yes- Full,No,Unknown,3,Low-Rise,"51,666",,,,,,,,,,,,1.64,329,,,,,,,,No,,,,19,,,,1/1/1974,1,1974,,,,,,,1/1/2003,1,2003,,,,,,,,,No,,,,No,,,No,12,0,,,,No,,,,No
27992,Office,Office,100 N Field Dr,,,,Lake Forest,Illinois,60045,One Conway Park,Conway Park,,Chicago,North Lake County,,Office,Office,,A,,"105,000",Existing,"105,000",,83%,"14,605",$21.00,CBRE,EQ Office,,,Lake,,"Lake County-Kenosha County, IL-WI Metropolitan Division",42.242914,-87.897477,Suburban,,Suburban,No,No,,No,Yes,,No,No,Multi-Tenant,3,Low-Rise,"35,000",,,,,,,,,,,Surface Lot,3.1,326,,,,$8.35,$6.15,2014,$2.20,Yes,No,09-17-411-016-0000,"OR-2, Lake Forest",,7/1/1987,3,1987,1/1/1989,1,1989,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
3171,Office,Office,100 N Riverside Plz,,,,Chicago,Illinois,60606,Boeing Building,,,Chicago,West Loop,,Office,Office,,A,,"778,574",Existing,"770,299",,92%,"66,216",,Astellas Pharma,,Moceri & Rozak,,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.883437,-87.638789,CBD,,Urban,No,No,,No,No,Water,No,Yes,Multi-Tenant,36,High-Rise,"21,395",,,,,,,,,8,6,Underground Garage,0.56,435,,,,$16.83,,2017,,Yes,Gold,04-32-105-007-0000,"PD-431, Chicago",,1/1/1987,1,1987,1/1/1990,1,1990,,,,,,,,,,,,,BTS ground-up,,,,,No,Center,,,No,,3 Blocks or More,No,,,,,,No,,,,No
608084,Office,Office,100 NW Point Blvd,,,,Elk Grove Village,Illinois,60007,"Automatic Data Processing, Inc.",,,Chicago,Northwest,,Office,Office,,A,,"241,840",Existing,,,100%,0,$28.15,,Dean Topping & Company,Summit Design + Build LLC,,Cook,,,42.035177,-87.979492,Suburban,,,No,No,,No,No,,Yes- Full,No,Single-Tenant,5,Low-Rise,"48,368",,,,,,,,,,,,,,,,,,,,,No,,12-09-215-029-0000,,,1/1/1984,1,1984,1/1/1986,1,1986,,,,,,,,,,,,,,,,,,No,,,,No,,,No,,,,,,No,,,,No
27995,Office,Condo,100 S 1st St,,,,Saint Charles,Illinois,60174,The Plaza,The Plaza,,Chicago,Western East-West,,Office,Condo,,A,,"75,000",Existing,"75,000",,92%,"5,636",$42.00,Murray Commercial,,Mc Machinery Systems Inc,,Kane,,,41.912571,-88.31404,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,4,Low-Rise,"26,676",,,,,,,,,,,,8.62,460,,,,,,,,No,No,17-16-210-015-0000,,,,,,8/1/2008,3,2008,,,,,,,,,,,,,Spec ground-up,,,,,No,,,,No,,More than 1 mile,No,,,,,,No,,,,No
608082,Office,Office,100 S Milwaukee Ave,,,,Vernon Hills,Illinois,60061,American Hotel Register Company,,,Chicago,North Lake County,,Office,Office,,A,,"208,000",Existing,,,100%,0,,WW Grainger,,Thor Equities,,Lake,,,42.22486,-87.942135,Suburban,,,No,No,,No,No,,Yes- Full,Yes,Single-Tenant,5,Low-Rise,"41,600",,,,,,,,,,,,,,,,,,,,,No,,45-11-05-280-001.000-036,,,1/1/1998,1,1998,1/1/2000,1,2000,,,,,,,,,,,,,,,,,,No,,,,No,,,No,,,,,,No,,,,No
27996,Office,Office,100 S Saunders Rd,,,,Lake Forest,Illinois,60045,Landmark I,Landmark of Lake Forest,,Chicago,North Lake County,,Office,Office,,A,,"162,816",Existing,"161,500",,87%,"41,418",,CBRE,Walton Street Capital,R2 Companies,,Lake,,"Lake County-Kenosha County, IL-WI Metropolitan Division",42.238483,-87.899117,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,4,Low-Rise,"40,704",,,,,,,,,,,Surface Lot,4,644,,,,$8.57,$6.66,2014,$1.91,Yes,No,16-31-101-041,"N/Av, Lake Forest",,7/1/1997,3,1997,11/1/1999,4,1999,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
397406,Office,Office,100-112 S State St,,,,Chicago,Illinois,60603,1 W Monroe,,,Chicago,Central Loop,,Office,Office,,A,,"70,918",Existing,"70,918",,100%,"1,068",,Cushman & Wakefield,Lincoln Property Company,Gene Kimmel,,Cook,,,41.880365,-87.627777,CBD,,,No,No,,No,No,,No,No,Multi-Tenant,5,Single-Story,"14,184",,,,,,,,,,,,,,,,,,,,,No,No,17-09-412-013-0000,,,,,,1/1/1970,1,1970,,,,,,,12/1/2016,4,2016,,,,Spec ground-up,"Conference / meeting center, Bike storage, Coffee bar",,,,No,Center,,,No,,Within 1/4 mile,No,100,100,,,,No,,,,No
28028,Office,Office,100-120 Harvester Dr,,,,Burr Ridge,Illinois,60527,Building C,Building C,,Chicago,Eastern East-West,,Office,Office,,A,,"90,000",Proposed Long-Term,"90,000",,,0,,HSA Commercial Real Estate,JLL,R2 Companies,,DuPage,,,41.758628,-87.918445,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,3,Low-Rise,"30,000",,,,,,,,,,,Surface Lot,4,,,,,,,,,No,No,12-09-200-022-0000,,,,,,,,,,,,,,,,,,,,,Spec ground-up,,,,,No,,,,No,,More than 1 mile,No,,,,,,No,,,,No
540489,Office,Office,100-199 S Milwaukee Ave,,,,Vernon Hills,Illinois,60061,Build-to-Suit,,,Chicago,North Lake County,,Office,Office,,A,,"405,920",Proposed Long-Term,,,,0,,Cushman & Wakefield,Hearn Company,Prologis,,Lake,,,42.224868,-87.942042,Suburban,,,No,No,,No,No,,,No,,1,Single-Story,"405,920",,,,,,,,,,,,,,,,,,,,,No,,11-36-301-014,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,No,13,23,,,,No,,,,No
28003,Office,Office,1000 Burr Ridge Pkwy,,,,Burr Ridge,Illinois,60527,1000 Burr Ridge,Lake Ridge Pointe Office Center,,Chicago,Eastern East-West,,Office,Office,,A,,"57,222",Existing,"57,222",,86%,"8,015",,Hamilton Partners,,Sterling Bay,,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.754917,-87.910133,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,3,Low-Rise,"20,000",,,,,,,,,,,Surface Lot,6.11,350,,,,$4.52,,2014,$4.52,No,No,06-20-418-002,,,1/1/1994,1,1994,1/1/2002,1,2002,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,Retail,No,,,,No
28005,Office,Office,1000 E Warrenville Rd,,,,Naperville,Illinois,60563,1000 East Warrenville,Naperville Woods Office Center,,Chicago,Western East-West,,Office,Office,,A,,"267,000",Existing,"267,000",,100%,0,,,American Hotel Register,Asset Recovery Fund | Joint Venture,,DuPage,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.807579,-88.132317,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,4,Low-Rise,"66,750",,,,,,,,,,,Surface Lot,5,1335,,,,,,,,No,No,03-03-400-086-0000,"ORI, Naperville",,1/1/1986,1,1986,1/1/1988,1,1988,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
28011,Office,Office,1000 Milwaukee Ave,,,,Glenview,Illinois,60025,,,,Chicago,North Cook County,,Office,Office,,A,,"405,039",Demolished,"405,039",,,0,,Avison Young,Colliers International,"CRM Properties Group, Ltd.",,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",42.074833,-87.864646,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,6,Low-Rise,"67,507",,,,,,,,,,,Surface Lot,4.4,1782,,,,$14.34,$9.11,2014,$5.23,Yes,No,12-26-452-002,"I-1, Glenview",,1/1/1973,1,1973,1/1/1975,1,1975,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
541704,Office,Office,1000 Remington Blvd,,,,Bolingbrook,Illinois,60440,Tallgrass Corporate Center,,,Chicago,South Suburbs,,Office,Office,,A,,"533,365",Existing,,,98%,"72,492",$22.75,NAI Hiffman,Sterling Bay,Sterling Bay,,Will,,,41.678176,-88.105904,Outer Suburbs,,,No,No,,No,No,,No,No,Multi-Tenant,3,Low-Rise,"177,788",,,,,,,,,,,,3.97,2121,,,,$8.33,$5.92,2016,$2.41,Yes,,06-26-200-008,"O1, Bolingbrook",50,,,,1/1/1993,1,1993,,,,,,,1/1/1998,1,1998,,,,,"Conference / meeting center, Fitness center",,,,No,,,,No,,,No,2,0,,,,No,,,,No
28016,Office,Office,1000 Skokie Blvd,,,,Northbrook,Illinois,60062,,,,Chicago,North Cook County,,Office,Office,,A,,"400,000",Proposed Long-Term,"400,000",,,0,,Cawley Chicago Commercial Real Estate,Greenleaf Center,Zeller Realty Group,,Cook,,,42.134201,-87.789318,Suburban,,Suburban,No,No,,No,No,,No,No,Multi-Tenant,3,Low-Rise,"133,333",,,,,,,,,,,Structured Parking,2,,,,,,,,,No,No,12-03-309-013-0000,O3,,,,,,,,,,,,,,,,,,,,Spec ground-up,,,,,No,,,,No,,More than 1 mile,No,,,,,,No,,,,No
571667,Office,Creative,1000 W Carroll Ave,,,,Chicago,Illinois,60607,1000 W Carroll Avenue,,,Chicago,Fulton Market,,Office,Creative,,A,,"505,632",Proposed Short-Term,"463,725","8,674",,0,$34.00,NAI Hiffman,Hines,Aurora City,,Cook,,,41.888118,-87.652832,CBD,,Urban,No,No,,No,No,,,No,Multi-Tenant,17,Mid-Rise,"45,000",,,,,,,,,,,In-Building Above Grade,,200,,,,,,,,Yes,Silver,12-02-304-008-0000,,,,,,6/1/2022,2,2022,,,,,,,,,,,,,Spec ground-up,,,,,No,,,,No,,,No,,,,,,No,,,,No
