PropertyID,Bldg Type,Bldg Subtype,Tenant,Tenant Industry Cluster,Tenant Industry,Tenant Sub Industry,Sublessor Company,Lease Industry Cluster,Lease Industry,Lease Sub Industry,Local Industry,Address,City,State,Zip,Bldg Name,Business Park,Market,Submarket,Micromarket,Bldg Class,Bldg Sub-class,Lease Size,Suite,Floor(s),View Space,Space Use Type,Space Use SubType,Space Condition,Dock Configuration Type,Term (mos),Date on Market,Sign Date,Commencement Date,Move-in Date,Expiration Date,Lease Type,Asking Rent,First Year Rent p.s.f.,Rent Type,Effective Rent p.s.f.,Average Rent p.s.f.,Escalation,Escalation Frequency,Escalation Type,Escalation Amount,Free Rent (mos),Free Rent ($),Free Rent Type,TIs p.s.f.,Improvement Comments,Renewal Option Date,Renewal Option Notification Date,Early Termination Notification Date,Submarket Cluster,Custom Cluster,Bldg Size,Bldg Status,Multi-floor?,Entire floor?,Transaction Type,Footprint,Previous Lease s.f.,Bldg Leasing Company,Agency Broker Company,Tenant Broker Company,Current Landlord,Property Management Company,Amenities,Amenity Comments,Lease Status,Encumbrances ?,Verification,Full Lease?,Followup Required?,Corp. HQ?,Total Lease Value,OpEx and Taxes p.s.f.,Taxes,Insurance,Parking Type,Parking Ratio,Parking Spaces,Parking Reserved Charges,Parking Unreserved Charges,Improvement Allowance Comments,Parking Secured,Construction Type,Construction Materials,Industrial AC,Crane Served?,Crane Count,Crane Capacity,Crane Hook Height,Crane Comments,Broke Ground Date,Build Date,Renovated Date,Latitude,Longitude,Most Expensive Street?,Prior Address,Prior Building Name,Prior Submarket,Tenant SIC Code,Tenant NAICS Code,Lease SIC Code,Lease NAICS Code
29400,Office,Office,AmazeRealise,,,,,,,,,8755 W Higgins Rd,Chicago,Illinois,60631,8755 West Higgins,O'Hare Plaza,Chicago,O'Hare,,A,,"13,991",400,,,Office,,,,41,,8/1/2019,8/1/2019,8/1/2019,1/30/2023,Direct,,$28.50,Full Service Gross,,,Stepped $0.50,Stepped,Amount,0.5000,0,,,$0.00,,1/31/2023,,,Suburban,,"232,944",Existing,No,No,Renewal,,,JLL,Colliers International,,"Alcion Ventures L.P., Alcion Ventures",JLL,,,Occupied,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,7/1/1984,1/1/1986,,41.98712,-87.845824,No,8755 W Higgins Rd,8755 West Higgins,O'Hare,,,,
28444,Office,Office,Akorn Pharmaceuticals,,,,,,,,,1901 N Roselle Rd,Schaumburg,Illinois,60173,Chatham Centre,,Chicago,Northwest,Schaumburg,A,,"20,776",800,8,,Office,Office,2nd Generation,,,,8/1/2019,10/1/2019,10/1/2019,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,Suburban,,"205,614",Existing,No,Yes,Renewal,Stable,,NAI Global,Newmark Knight Frank,Newmark Knight Frank,Blackstone Group,Sheffield Management,,,Occupied,No,Verified,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,7/1/1988,1/1/1990,,42.06142,-88.07811,No,1901 N Roselle Rd,Chatham Centre,Northwest,,,,
3702,Office,Office,Meeting Expectations,,,,,,,,,130 E Randolph St,Chicago,Illinois,60601,One Prudential Plaza,Prudential Plaza,Chicago,East Loop,,A,,"7,682",2800,28,,Office,Office,1st Generation,,48,,8/1/2019,8/1/2019,8/1/2019,7/31/2023,Direct,,$26.00,N,,,Annual 2.50%,Annual,Percent,0.0250,0,,,$0.00,,,,,CBD,,"1,226,092",Existing,No,No,New Lease,Stable,,Hamilton Partners,,,Blackstone Group,Quadrangle Development Company,,,Occupied,No,Verified,No,Yes,No,,$19.97,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1952,1/1/1955,1/1/2015,41.884841,-87.623262,No,,,,,,,
4371,Office,Office,Chicago Metropolitan Housing Development Corporation,Health,Healthcare Insurance,,,Health,Healthcare Insurance,,,200 E Randolph St,Chicago,Illinois,60601,AON Center,,Chicago,East Loop,,A,,"126,785",3900,39-40,,Office,Office,1st Generation,,65,,8/1/2019,8/1/2019,8/1/2019,12/31/2024,Direct,,$27.50,N,,,Annual 2.50%,Annual,Percent,0.0250,1.5,,Full Service Gross,$80.00,,,,,CBD,,"2,689,814",Existing,Yes,Yes,Expansion,Growing,,JLL,Newmark Knight Frank,JLL,"Fulcrum Asset Advisors, MJH Corporate Center I LLC",Sterling Bay,,,Occupied,No,Verified,No,No,Yes,,$19.18,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1971,1/1/1974,,41.885141,-87.621513,No,,,,,,,
5459,Office,Office,INXPO,,,,,,,,,550 W Jackson Blvd,Chicago,Illinois,60661,550 West Jackson,,Chicago,West Loop,,A,,"27,721",,,,Office,,,,144,,7/24/2019,11/1/2020,11/1/2020,10/31/2032,Direct,,$24.50,N,,,Annual 3.00%,Annual,Percent,0.0300,6,,,$11.00,,11/1/2032,10/31/2031,,CBD,,"405,000",Existing,No,No,New to Market,,,CBRE,,JLL,LaSalle Investment Management,Zeller Realty Group,,,Signed,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1999,1/1/2001,,41.878299,-87.641727,No,,,,,,,
4385,Office,Office,Canon Business Process Services,Finance,"Finance, Planners and Advisors",,,Finance,"Finance, Planners and Advisors",,,200 W Madison St,Chicago,Illinois,60606,200 West Madison,,Chicago,West Loop,,A,,"4,507",2410,24,,Office,Office,2nd Generation,,84,,7/23/2019,10/1/2020,10/1/2020,9/30/2027,Direct,,$22.50,N,,,Annual 3.00%,Annual,Percent,0.0300,7,,Full Service Gross,$25.00,,,,,CBD,,"1,066,900",Existing,No,No,Renewal,Stable,,Cushman & Wakefield,JLL,JLL,Cornerstone Real Estate Advisers,JLL,,,Signed,No,Verified,No,No,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1980,1/1/1983,,41.882192,-87.634349,No,200 W Madison St,200 West Madison,West Loop,,,,
4623,Office,Office,UNICEF,,,,,,,,,227 W Monroe St,Chicago,Illinois,60606,227 West Monroe,The Franklin,Chicago,West Loop,,A,,200,2100,21,,Office,,,,12,,7/23/2019,8/1/2019,8/1/2019,7/31/2020,Direct,,$0.00,Full Service Gross,,,Annual $0.00,Annual,Amount,0.0000,0,,,$0.00,,,,,CBD,,"1,571,000",Existing,No,No,Relocation,,,JLL,JLL,Avison Young,American Realty Advisors,Zeller Realty Group,,,Occupied,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1986,1/1/1989,,41.880367,-87.634714,No,,,,,,,
6219,Office,Office,Zenner Consulting Group,,,,,,,,,980 N Michigan Ave,Chicago,Illinois,60611,One Magnificent Mile,,Chicago,North Michigan Avenue,,A,,"1,643",1650,16,,Office,Office,,,72,,7/23/2019,10/1/2019,10/1/2019,9/30/2025,Direct,,$19.00,N,,,Stepped $0.50,Stepped,Amount,0.5000,5,,,$0.00,,10/1/2025,9/30/2024,,CBD,,"401,032",Existing,No,No,New to Market,,,Avison Young,,,Loeb Partners,R2 Companies,,,Occupied,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1978,1/1/1980,,41.900585,-87.624719,No,,,,,,,
4918,Office,Office,KRA Properties LLC,,,,,,,,,321 N Clark St,Chicago,Illinois,60654,321 North Clark at Riverfront Plaza,,Chicago,River North,,A,,"3,716",,,,Office,,,,84,,7/22/2019,12/1/2019,12/1/2019,11/30/2026,Direct,,$28.00,N,,,Stepped $0.84,Stepped,Amount,0.8400,2,,,$25.00,,,,,CBD,,"896,502",Existing,No,No,Renewal,,,JLL,JLL,,Vornado Realty Trust,JLL,,,Signed,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1985,1/1/1987,,41.888155,-87.630782,No,321 N Clark St,321 North Clark at Riverfront Plaza,River North,,,,
4623,Office,Office,Waddell & Reed,Professional and Business Services,Legal Services,Law Firms,,,,,,227 W Monroe St,Chicago,Illinois,60606,227 West Monroe,The Franklin,Chicago,West Loop,,A,,"12,353",3900,39,,Office,,,,72,,7/18/2019,4/1/2020,4/1/2020,3/31/2026,Direct,,$29.00,NNN,,,Stepped $0.73,Stepped,Amount,0.7300,0,,,$50.00,,4/1/2026,3/31/2025,,CBD,,"1,571,000",Existing,No,No,New to Market,,,Hamilton Partners,,CBRE,"Hamilton Partners, Millbrook Real Estate Company",Vornado Realty Trust,,,Signed,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1986,1/1/1989,,41.880367,-87.634714,No,,,,,,,
4371,Office,Office,Raymond James,,,,,,,,,200 E Randolph St,Chicago,Illinois,60601,AON Center,,Chicago,East Loop,,A,,"27,253","3200, 3300, 3400, 3500","32, 33, 34, 35",,Office,,,,173,,7/17/2019,7/18/2019,7/18/2019,12/31/2033,Direct,,$24.00,N,,,Annual 2.50%,Annual,Percent,0.0250,17,,,$0.00,,,,,CBD,,"2,689,814",Existing,Yes,No,Expansion,,,Zeller Realty Group,,JLL,"Alcion Ventures L.P., Alcion Ventures",JLL,,,Occupied,No,,No,No,Yes,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1971,1/1/1974,,41.885141,-87.621513,No,,,,,,,
29396,Office,Office,LRAP Association,Technology,Hardware (included VR and AR),Hardware (included VR and AR),,,,,,8725 W Higgins Rd,Chicago,Illinois,60631,O'Hare Plaza I,O'Hare Plaza,Chicago,O'Hare,,A,,"13,790","450,200",4,,Office,,,,66,,7/10/2019,1/1/2020,1/1/2020,6/30/2025,Direct,,$31.00,Full Service Gross,,,Stepped $1.00,Stepped,Amount,1.0000,4,,,$35.12,,7/1/2025,7/1/2024,,Suburban,,"278,675",Existing,Yes,No,Relocation,,,Golub & Company,JLL,,"Fulcrum Asset Advisors, MJH Corporate Center I LLC",JLL,,,Signed,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1967,1/1/1969,1/1/1997,41.985605,-87.84543,No,,,,,,,
5206,Office,Mixed-Use,Great American Insurance Company,,,,,Finance,Other Financial Investment Vehicles,,,425 S Financial Pl,Chicago,Illinois,60605,425 S Financial Place,,Chicago,Central Loop,,A,,"2,108",910G,9,,Office,Mixed-Use,1st Generation,,19,,7/8/2019,8/1/2019,8/1/2019,2/28/2021,Direct,,$40.00,Full Service Gross,,,Stepped $1.00,Stepped,Amount,1.0000,1,,Full Service Gross,,,,,,CBD,,"1,041,292",Existing,No,No,Relocation,,,Telos Group,,,Equus Capital Partners,Zeller Realty Group,,,Occupied,No,Verified,Yes,No,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1981,1/1/1984,1/1/2015,41.875732,-87.631973,No,,,,,,,
3642,Office,Office,USI,,,,,,,,,123 N Wacker Dr,Chicago,Illinois,60606,123 North Wacker,,Chicago,West Loop,Wacker West,A,,"11,485",1050,10,,Office,,,,91,,7/2/2019,12/1/2019,12/1/2019,6/30/2027,Direct,,$27.00,N,,,Stepped $0.68,Stepped,Amount,0.6800,6,,,$12.00,,7/1/2027,10/3/2026,,CBD,,"540,621",Existing,No,No,New to Market,,,MBRE,GlenStar Properties,Savills,Equus Capital Partners,Vornado Realty Trust,,,Signed,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1984,1/1/1986,2/1/2001,41.884157,-87.636553,Yes,,,,,,,
4948,Office,Office,Westlake Health Foundation,,,,,,,,,330 N Wabash Ave,Chicago,Illinois,60611,330 N Wabash,330 N Wabash,Chicago,North Michigan Avenue,,A,-,"23,000",,35,,Office,Mixed-Use,1st Generation,,,,7/1/2019,9/1/2019,9/1/2019,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"1,141,760",Existing,No,No,New to Market,Growing,,JLL,JLL,,Farbman Group,JLL,,,Occupied,No,Estimated,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1968,1/1/1971,10/1/2013,41.888638,-87.627505,No,,,,,,,
5319,Office,Office,Pearson Education,Technology,General Technology,,,Technology,General Technology,,,500 W Madison St,Chicago,Illinois,60661,Accenture Tower,,Chicago,West Loop,,A,,"152,000",,,,Office,Office,1st Generation,,,,7/1/2019,,,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"1,369,689",Existing,Yes,Yes,Expansion,Growing,145000,JLL,JLL,,HNA Group,EQ Office,,,Occupied,No,,No,Yes,Yes,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1984,1/1/1987,,41.88295,-87.640182,No,161 N Clark St,Grant Thornton Tower,Central Loop,,,,
5375,Office,Office,"Sysmex America, Inc",Technology,Hardware (included VR and AR),,,,,,,515 N State St,Chicago,Illinois,60611,Five One Five,,Chicago,North Michigan Avenue,,A,,800,,,,Office,,,,12,,7/1/2019,7/1/2019,7/1/2019,6/30/2020,Direct,,$0.00,Full Service Gross,,,Annual $0.00,Annual,Amount,0.0000,0,,,$0.00,,,,,CBD,,"684,989",Existing,No,No,Renewal,,,Van Vlissingen & Company,CBIZ,,"Tishman Speyer, National Pension Service of Korea",JLL,,,Occupied,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1988,1/1/1990,,41.891409,-87.627157,No,515 N State St,Five One Five,North Michigan Avenue,,,,
4589,Office,Office,Roy D Gottlieb Associates,,,,,,,,,222 W Adams St,Chicago,Illinois,60606,222 West Adams,The Franklin,Chicago,West Loop,,A,,"6,005",3200,32,,Office,Office,1st Generation,,60,,7/1/2019,4/1/2020,4/1/2020,3/31/2025,Direct,,$28.00,N,,,Annual 2.50%,Annual,Percent,0.0250,0,,,$80.00,,,,,CBD,,"943,433",Existing,No,No,Expansion,Growing,,Lincoln Property Company,JLL,JLL,KBS Realty Advisors,CBRE,,,Signed,No,Verified,Yes,No,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1990,1/1/1992,,41.879673,-87.634887,No,222 W Adams St,222 West Adams,West Loop,,,,
5704,Office,Office,Wilson Sporting Goods,Professional and Business Services,Legal Services,Law Firms,,Professional and Business Services,Legal Services,Law Firms,,70 W Madison St,Chicago,Illinois,60602,Three First National Plaza,,Chicago,Central Loop,,A,,"7,694",5650,56,,Office,Office,1st Generation,,132,,7/1/2019,7/1/2019,7/1/2019,6/30/2030,Direct,,$27.50,N,,,Annual 2.50%,Annual,Percent,0.0250,12,,Full Service Gross,$100.00,,,,,CBD,,"1,439,360",Existing,No,No,New Lease,,,JLL,Lincoln Property Company,CBRE,Fulcrum Asset Advisors,JLL,,,Occupied,No,Verified,No,Yes,No,,$18.24,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1977,1/1/1980,,41.882269,-87.630245,No,,,,,,,
28249,Office,Office,Unknown,,,,,,,,,1450 American Ln,Schaumburg,Illinois,60173,Schaumburg Towers II,Schaumburg Towers,Chicago,Northwest,Schaumburg,A,,"21,766",,13,,Office,Office,1st Generation,,,,7/1/2019,11/1/2019,11/1/2019,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,Suburban,,"440,538",Existing,No,No,New Lease,,,Telos Group,Tishman Speyer,JLL,RN Realty,Golub & Company,,,Occupied,No,Verified,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1986,1/1/1988,1/1/2004,42.046811,-88.04392,No,,,,,,,
4812,Office,Office,Mid-America Real Estate Group,Professional and Business Services,Business Services,Other,,,,,,30 S Wacker Dr,Chicago,Illinois,60606,CME Center,CME Center,Chicago,West Loop,Wacker West,A,,"5,618",2850,,,Office,,,,91,,6/26/2019,12/1/2019,12/1/2019,6/30/2027,Direct,,$32.00,NNN,,,Annual 3.00%,Annual,Percent,0.0300,0,,,$90.00,,7/1/2027,6/30/2026,,CBD,,"1,200,000",Existing,No,No,New to Market,,,Colliers International,JLL,CBRE,Hinsdale Management,JLL,,,Signed,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1980,1/1/1983,,41.881173,-87.637379,Yes,,,,,,,
6219,Office,Office,Jorman Partners,,,,,,,,,980 N Michigan Ave,Chicago,Illinois,60611,One Magnificent Mile,,Chicago,North Michigan Avenue,,A,,"1,835","115,112",11,,Office,,,,12,,6/25/2019,11/1/2019,11/1/2019,10/31/2020,Direct,,$16.00,Full Service Gross,,,Annual $0.00,Annual,Amount,0.0000,0,,,$0.00,,,,,CBD,,"401,032",Existing,Yes,No,Renewal,,,Zeller Realty Group,Newmark Knight Frank,CBRE,"Fulcrum Asset Advisors, Marvin Herb",CBRE,,,Signed,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1978,1/1/1980,,41.900585,-87.624719,No,980 N Michigan Ave,One Magnificent Mile,North Michigan Avenue,,,,
3171,Office,Office,Orgami Risk,,,,,,,,,100 N Riverside Plz,Chicago,Illinois,60606,Boeing Building,,Chicago,West Loop,,A,,"2,692",1660,16,,Office,,,,12,,6/25/2019,7/1/2019,7/1/2019,6/30/2020,Sublease,,$22.50,Full Service Gross,,,Annual $0.00,Annual,Amount,0.0000,0,,,$0.00,,,,,CBD,,"778,574",Existing,No,No,New to Market,,,R2 Companies,JLL,,State Teachers Retirement System of Ohio,Lincoln Property Company,,,Occupied,No,,No,No,Yes,,$0.00,,,,,,,,,No,BTS ground-up,,,,,,,,1/1/1987,1/1/1990,,41.883437,-87.638789,No,,,,,,,
5206,Office,Mixed-Use,Plaza Research,,,,,,,,,425 S Financial Pl,Chicago,Illinois,60605,425 S Financial Place,,Chicago,Central Loop,,A,,"1,373",,9,,Office,,,,13,,6/24/2019,7/1/2019,7/1/2019,7/31/2020,Direct,,$41.00,Full Service Gross,,,Annual $0.00,Annual,Amount,0.0000,1,,,$0.00,,,,,CBD,,"1,041,292",Existing,No,Yes,Renewal,,,CBRE,,,"Fulcrum Asset Advisors, Crestlight Capital",Cushman & Wakefield,,,Occupied,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1981,1/1/1984,1/1/2015,41.875732,-87.631973,No,425 S Financial Pl,425 S Financial Place,Central Loop,,,,
335607,Office,Office,IT Convergence,Finance,Real Estate,CoWorking/Flexible Space,,Finance,Real Estate,CoWorking/Flexible Space,,625 W Adams St,Chicago,Illinois,60661,625 West Adams,,Chicago,West Loop,,A,,"89,359",2000,18-20,,Office,Coworking,1st Generation,,,,6/19/2019,12/1/2019,12/1/2019,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"438,184",Existing,Yes,Yes,New Lease,Growing,,Newmark Knight Frank,MB Real Estate Services,Newmark Knight Frank,American Realty Advisors,Hines,,,Occupied,No,,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,4/1/2016,1/1/2018,,41.8792,-87.6436,No,,,,,,,
