PropertyID,Address ,Building Name,Suite,City,State,Postal Code,Market ,Sub Market Cluster,Sub Market,Micro Market,Property Type,Building Type,Building Sub Type,Building Sub Specialty,Building Class,Building Sub Class,Building Status,Space Type,Availability Type,Space Condition,Build Out Condition,Condition,Floors,Is Available,Is Vacant,Is Full Floor?,Is Full Building?,Is Divisibile?,View Space,Min Available s.f.,Max Available s.f.,Rent Low,Rent High,Rent Type,Sale Price,Floor Contig s.f.,Large Block (Bldg Contig) s.f.,Calculated Bldg Contig s.f.,Bldg Contig Rent,Operating Expenses p.s.f.,Taxes p.s.f.,Common Area Maintenance p.s.f.,Date on Market,Vacating Tenant Company,Date Vacant,New Tenant,Move In Date,Earliest Move In Timing,Earliest Move in Date,Minimum Lease Term Months,Maximum Lease Term Months,In Statistics?,Sublessor Company,Listing Broker Company,Amenities,Amenity Comments,Building Size,Building Primary Owner,Column Spacing Width,Column Spacing Depth,Building Location
3136,1 N Franklin St,PNC Centre at One North Franklin,1250,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,12th,Yes,Yes,No,No,No,,"5,489","5,489",$29.00,$34.00,N,,"5,489","5,489","18,807",,,,,7/8/2019,,,,,Vacant,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,1260,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,12th,Yes,Yes,No,No,No,,526,526,$0.00,$2.00,N,,"9,945",526,"18,807",$23.00,,,,11/21/2017,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,1205,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,12th,Yes,Yes,No,No,No,,"5,281","5,281",$35.04,$39.04,N,,"9,945","5,281","18,807",$23.00,,,,11/21/2017,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,1225,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,12th,Yes,Yes,No,No,No,,"4,138","4,138",$35.00,$37.00,N,,"9,945","4,138","18,807",$23.00,,,,11/21/2017,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,1700,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,17th,Yes,Yes,Yes,No,No,,"18,807","18,807",$35.04,$37.04,N,,"18,807","18,807","18,807",$23.00,,,,1/3/2018,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,1875,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,Excellent,18th,Yes,No,No,No,No,,"2,536","2,536",$25.00,$27.00,N,,"2,536","2,536","18,807",$23.00,,,,6/22/2017,,,,,30 Days,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,2125,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,21st,No,No,No,No,No,,"4,074","4,074",$39.50,$43.50,N,,"4,074","4,074","18,807",$25.00,,,,1/5/2017,,,,5/10/2019,,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,2401,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,24th,Yes,Yes,No,No,No,,338,338,$0.00,$5.00,Full Service Gross,,,338,"18,807",,,,,12/4/2018,,,,,Vacant,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,2430,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,24th,Yes,Yes,No,No,No,,"2,312","2,312",$27.44,$31.44,N,,"2,312","2,312","18,807",,,,,5/2/2019,,,,,Vacant,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,2400,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,Excellent,24th,Yes,No,No,No,No,,"6,532","6,532",$37.00,$40.00,N,,"6,532","6,532","18,807",,,,,10/1/2019,,,,,30 Days,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,2600,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,Excellent,26th,Yes,Yes,No,No,No,,"12,668","12,668",$23.00,$27.00,N,,"12,668","12,668","18,807",$0.00,,,,10/29/2018,,,,,Vacant,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,2660,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,26th,Yes,Yes,No,No,No,,"1,056","1,056",$49.00,$51.00,N,,"1,056","1,056","18,807",$23.00,,,,11/18/2014,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,3010,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,Excellent,30th,Yes,No,No,No,No,,"2,302","2,302",$40.50,$44.50,Full Service Gross,,"2,302","2,302","18,807",,,,,10/1/2019,,,,,30 Days,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,3175,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,31st,No,No,No,No,No,,"5,958","5,958",$25.56,$30.56,N,,"5,958","5,958","18,807",$23.00,,,,12/6/2017,,,,7/1/2019,Specific Date,7/1/2019,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,3450,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,34th,Yes,Yes,No,No,No,,"8,478","8,478",$26.25,$28.25,N,,"8,478","8,478","18,807",$23.00,,,,8/28/2018,,,,,Specific Date,1/1/2019,0,0,Yes,,,,,"634,747",New York Common Retirement Fund,,,
27968,1 Overlook Pt,One Overlook Point,242,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,257,257,$31.75,$32.75,Modified Gross,,,,"37,703",,,,,1/16/2019,,,,2/16/2019,,,,,Yes,,Van Vissingen and Company,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,242,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,257,257,$27.80,$30.80,Full Service Gross,,257,257,"37,703",$35.02,,,,5/17/2018,,,,9/1/2018,30 Days,,0,0,Yes,,,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,246,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,257,257,$37.56,$41.56,Full Service Gross,,257,257,"37,703",$35.02,,,,5/17/2018,,,,1/18/2019,30 Days,,0,0,Yes,,Van Vissingen and Company,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,247,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,242,242,$46.00,$50.00,Modified Gross,,242,242,"37,703",$24.55,,,,5/17/2018,,,,4/1/2019,30 Days,,0,0,Yes,,,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,249,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,242,242,$0.00,$1.00,Full Service Gross,,242,242,"37,703",$24.55,,,,5/17/2018,,,,6/21/2019,30 Days,,,,Yes,,Van Vlissingen & Company,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,250,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,257,257,$34.51,$38.51,Full Service Gross,,257,257,"37,703",$35.02,,,,5/17/2018,,,,8/18/2019,30 Days,,,,Yes,,Van Vlissingen & Company,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,251,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,242,242,$29.49,$32.49,Full Service Gross,,242,242,"37,703",$24.55,,,,5/17/2018,,,,4/1/2019,30 Days,,0,0,Yes,,,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,252,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,387,387,$38.00,$43.00,Full Service Gross,,387,387,"37,703",$27.75,,,,5/17/2018,,,,4/1/2019,30 Days,,0,0,Yes,,,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,244,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,257,257,$30.09,$34.09,Full Service Gross,,257,257,"37,703",$0.00,,,,9/14/2018,,,,,30 Days,,0,0,Yes,,,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,290,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,"17,989","17,989",$45.33,$46.33,Full Service Gross,,"17,989","17,989","37,703",$16.50,,,,7/7/2015,,,,1/1/2019,Vacant,,,,Yes,,,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,400,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,4th,Yes,Yes,Yes,No,No,,"37,668","37,668",$46.50,$51.50,Full Service Gross,,"37,668","37,668","37,703",$16.50,,,,5/7/2008,,,,,Vacant,,,,Yes,,,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,500,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,5th,Yes,Yes,Yes,No,No,,"37,703","37,703",$29.20,$30.20,Full Service Gross,,"37,703","37,703","37,703",$16.50,,,,5/7/2008,,,,,Vacant,,,,Yes,,,,,"206,626",Van Vlissingen & Company,,,
27968,1 Overlook Pt,One Overlook Point,620,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,6th,No,No,No,No,No,,"11,421","11,421",,$5.00,Full Service Gross,,"11,421","11,421","37,703",$0.00,,,,3/9/2017,,,,7/15/2019,Vacant,7/15/2019,0,0,Yes,,Van Vlissingen & Company,,,"206,626",Van Vlissingen & Company,,,
27969,1 Parkview Plz,Parkview Plaza,,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,1st,No,No,No,No,No,,"1,984","1,984",$33.00,$35.00,Modified Gross,,"1,984","1,984","30,448",,,,,2/25/2019,,,,3/25/2019,,,,,Yes,,,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,100-A,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"2,143","2,143",$45.00,$47.00,N,,"2,143","2,143","30,448",$20.00,,,,2/2/2012,,,,,Vacant,,,,Yes,,,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,150,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"5,961","5,961",$55.00,$60.00,N,,"5,961","5,961","30,448",$20.00,,,,7/16/2014,,,,4/8/2019,,,,,Yes,,Hamilton Partners,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,225,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,"3,232","3,232",$24.75,$28.75,N,,,,"30,448",,,,,1/8/2019,,,,2/8/2019,,,,,Yes,,Hamilton Partners,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,200,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,No,No,No,No,,"18,183","18,183",$44.00,$45.00,N,,"18,183","18,183","30,448",$20.00,,,,5/29/2018,,,,,30 Days,,0,0,Yes,,,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,210,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"3,232","3,232",$22.50,$25.50,N,,"3,232","3,232","30,448",$20.00,,,,2/12/2013,,,,,Vacant,,,,Yes,,,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,600 & 655,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,6th,No,No,No,No,No,,"7,609","7,609",$44.50,$48.50,Full Service Gross,,"7,609","7,609","30,448",,,,,1/9/2019,,,,,30 Days,,,,Yes,,Hamilton Partners,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,655,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,Excellent,6th,Yes,Yes,No,No,No,,"1,930","1,930",$31.00,$35.00,Full Service Gross,,"1,930","1,930","30,448",,,,,5/2/2019,,,,,Vacant,,,,Yes,,Hamilton Partners,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,600,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,6th,Yes,Yes,No,No,No,,"5,679","5,679",$23.75,$24.75,N,,"5,679","5,679","30,448",$20.00,,,,12/6/2016,,,,,Vacant,,,,Yes,,,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,618,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,6th,No,No,No,No,No,,"2,059","2,059",,$1.00,N,,"2,059","2,059","30,448",$20.00,,,,6/13/2017,,,,12/1/2018,TBD,,,,Yes,,,,,"264,162",Hamilton Partners,,,
27969,1 Parkview Plz,Parkview Plaza,655,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,6th,No,No,No,No,No,,"1,930","1,930",$45.33,$48.33,N,,"1,930","1,930","30,448",$20.00,,,,2/22/2011,,,,2/9/2019,,,,,Yes,,Hamilton Partners,,,"264,162",Hamilton Partners,,,
