PropertyID,Bldg Type,Bldg Subtype,Sale Status,Active Marketing Date,Under Contract Date,Sold Date,Address,City,State,Zip,Bldg Name,Business Park,Market,Submarket,Micromarket,Bldg Class,Bldg Status,Tenancy,Bldg Size at Sale,Bldg Size,Sales Price,Price Est?,Portfolio?,Sale is Confidential,Parcel Size (acres),Parcel Number,Cap Rate,Occupancy at Sale,Asset Profile,Buyer,Buyer Company Participation %,Buyer Company Countries,Seller,Buyer Broker Company,Seller Broker Company,CAs,Tours,Bids,Construction Materials,Dock Configuration Type,Industrial AC,Crane Served?,Crane Comments,Submarket Cluster,Custom Cluster,Stories,Build Date,Renovated Date,Landlord Leasing Company,Management Company,Sale Type,Latitude,Longitude,Is Federal Sale?,Most Expensive Street?
28661,Office,Office,Sold,11/1/2018,2/1/2019,3/1/2019,2443 Warrenville Rd,Lisle,Illinois,60532,Westwood 1,Westwood of Lisle,Chicago,Western East-West,,A,Existing,Multi-Tenant,"148,063","148,065",8128997,Yes,Yes,No,,08-04-208-001,,7500%,,Hines,1.0000,,Serta International,,,,,,,,,,,Suburban,,6,12/1/1991,1/1/1997,Colliers International,NAI Hiffman,Acquisition,41.807838,-88.099548,No,No
335606,Office,Creative,Sold,,12/4/2018,1/4/2019,412 N Wells St,Chicago,Illinois,60654,412 North Wells,,Chicago,River North,,A,Existing,,"42,384","50,000","$140,000,000",No,No,No,,,515.0%,10000%,,Spear Street Capital,1.0000,,LaSalle Investment Management,JLL,JLL,,,,,,,,,CBD,,8,12/1/2017,,Cushman & Wakefield,JLL,Acquisition,41.8895,-87.6343,No,No
350188,Office,Creative,Sold,,10/1/2018,1/1/2019,318 N Carpenter St,Chicago,Illinois,60607,Carpenter Hall,,Chicago,Fulton Market,,A,Under Construction,,"105,611","108,054","$1,300,000,000",No,No,No,1,17-08-410-004-0000,,0%,Opportunistic,New York Life Insurance,1.0000,,Tishman Speyer,MBRE,MBRE,,,,,,,,,CBD,,8,8/1/2020,,JLL,Lincoln Property Company,Acquisition,41.887289,-87.653392,No,No
28978,Office,Office,Sold,7/1/2018,11/1/2018,12/11/2018,4320 Winfield Rd,Warrenville,Illinois,60555,Cornerstone I at Cantera,Cornerstone I at Cantera,Chicago,Western East-West,,A,Existing,Multi-Tenant,"152,520","152,520","$56,750,000",No,No,No,,07-02-203-004,,8000%,,GE Real Estate,1.0000,,UBS,,JLL,,,,,,,,,Suburban,,5,1/1/1999,,Alter Group,Millbrook Real Estate Company,Acquisition,41.808597,-88.168652,No,No
3143,Office,Office,Sold,,,12/1/2018,1 S Wacker Dr,Chicago,Illinois,60606,One South Wacker,,Chicago,West Loop,Wacker West,A,Existing,,"1,182,684","1,195,170","$22,034,147",No,No,No,,17-16-201-001-0000,559.0%,7600%,,JP Morgan Chase & Company,1.0000,,GE Capital Real Estate,,,,,,,,,,,CBD,,40,1/1/1982,,Lincoln Property Company,Marc Realty,Acquisition,41.88164,-87.636287,No,Yes
28978,Office,Office,Sold,,,12/1/2018,4320 Winfield Rd,Warrenville,Illinois,60555,Cornerstone I at Cantera,Cornerstone I at Cantera,Chicago,Western East-West,,A,Existing,,"152,520","152,520","$11,000,000",No,No,No,,07-02-203-004,,7950%,,Lone Star Funds,1.0000,,Ares Commercial Real Estate,,,,,,,,,,,Suburban,,5,1/1/1999,,Cushman & Wakefield,JLL,Acquisition,41.808597,-88.168652,No,No
28364,Office,Office,Sold,7/1/2018,11/14/2018,11/14/2018,1751 Lake Cook Rd,Deerfield,Illinois,60015,1751 Lake Cook,ArborLake Centre,Chicago,North Cook County,,A,Existing,Multi-Tenant,"196,524","196,524","$5,400,000",No,No,No,,04-06-201-010-0000,,7500%,,"CBRE Global Investors, Duke Realty Corporation",1.0000,,Duke Realty Corporation,,CBRE,,,,,,,,,Suburban,,6,1/1/1986,,Telos Group,Transwestern,Acquisition,42.151573,-87.871376,No,No
28112,Office,Office,Sold,,11/1/2018,11/1/2018,1111 W 22nd St,Oak Brook,Illinois,60523,Oakbrook Gateway,Oak Brook Gateway,Chicago,Eastern East-West,Oak Brook,A,Existing,Multi-Tenant,"233,166","233,166","$154,000,000",No,No,No,,06-26-200-008,,9080%,,MicroOffice Solutions,1.0000,,AMLI,,Cushman & Wakefield,,,,,,,,,Suburban,,8,1/1/1984,,Westpoint Commercial Realty,NAI Hiffman,Acquisition,41.8463,-87.946455,No,No
27983,Office,Office,Sold,,,10/10/2018,10 Parkway N,Deerfield,Illinois,60015,Ten Parkway North,Parkway North Center,Chicago,North Lake County,,A,Existing,,"99,811","99,811","$305,000,000",Yes,Yes,No,,16-31-101-045,561.0%,10000%,,Tishman Speyer,1.0000,,"Pizzuti, Nationwide Insurance",,Eastdil Secured,,,,,,,,,Suburban,,3,1/1/2000,,GlenStar Properties,Colliers International,Entity-Level,42.163235,-87.882379,No,No
28457,Office,Office,Sold,,,10/10/2018,1925 W Field Ct,Lake Forest,Illinois,60045,West Lake at Conway Park,Conway Park,Chicago,North Lake County,,A,Existing,,"100,000","100,000","$16,503,240",Yes,Yes,No,,11-36-401-020,561.0%,10000%,,Gramercy Property Trust,1.0000,,"Manulife Financial Corporation, John Hancock Life Insurance Company",,Eastdil Secured,,,,,,,,,Suburban,,3,4/1/2008,,Hamilton Partners,Equity Commonwealth,Entity-Level,42.24423,-87.893207,No,No
28239,Office,Office,Sold,7/1/2018,,10/1/2018,1421 W Shure Dr,Arlington Heights,Illinois,60004,Northwest Crossings,,Chicago,Northwest,,A,Existing,Multi-Tenant,"218,662","205,639","$20,294,075",No,No,No,,,770.0%,10000%,,Franklin Street Properties,1.0000,,Bilger Corporation,,CBRE,,,,,,,,,Suburban,,3,1/1/1974,1/1/2015,Hines,JLL,Acquisition,42.136879,-88.001761,No,No
536336,Office,Office,Sold,,,10/1/2018,100 Half Day Rd,Lincolnshire,Illinois,60069,,,Chicago,North Lake County,,A,Existing,,"155,000","155,000","$76,914,857",No,No,No,19,"15-13-400-043, 15-13-400-044",,10000%,,Farbman Group,"0.8000, 0.2000",",",Wells Fargo,,,,,,,,,,,Suburban,,3,1/1/1974,1/1/2003,GlenStar Properties,Zeller Realty Group,Acquisition,42.202143,-87.895197,No,No
28239,Office,Office,Sold,,,10/1/2018,1421 W Shure Dr,Arlington Heights,Illinois,60004,Northwest Crossings,,Chicago,Northwest,,A,Existing,,"218,662","205,639",,No,No,No,,,,10000%,,Ventas,1.0000,,NBS Corridors III LLC,,,,,,,,,,,Suburban,,3,1/1/1974,1/1/2015,"Office Space Chicago, Inc.",Zeller Realty Group,Acquisition,42.136879,-88.001761,No,No
28051,Office,Office,Sold,,,9/21/2018,10255 W Higgins Rd,Rosemont,Illinois,60018,O'Hare International Center II,O'Hare International Office Center,Chicago,O'Hare,,A,Existing,,"258,971","258,971","$51,515,000",Yes,Yes,No,,09-33-311-052-0000,,9520%,,JF McKinney & Associates,1.0000,,"Investcorp, Cornell & Gollub",,HFF (dba JLL),,,,,,,,,Suburban,,9,1/1/1987,,Zeller Realty Group,Hines,Acquisition,41.996062,-87.882307,No,No
28052,Office,Office,Sold,,,9/21/2018,10275 W Higgins Rd,Rosemont,Illinois,60018,O'Hare International Center I,O'Hare International Office Center,Chicago,O'Hare,,A,Existing,,"257,808","257,808","$26,358,500",Yes,Yes,No,,12-03-101-013-0000,,7330%,,Davidson Kempner Capital Management,1.0000,,KBS Realty Advisors,,HFF (dba JLL),,,,,,,,,Suburban,,9,1/1/1984,,Telos Group,JLL,Acquisition,41.996437,-87.883636,No,No
28723,Office,Office,Sold,,9/18/2018,9/18/2018,26525 N Riverwoods Blvd,Mettawa,Illinois,60045,26525 North Riverwoods,Woodland Falls II,Chicago,North Lake County,,A,Existing,Single-Tenant,"558,859","558,859","$15,100,000",No,No,No,,11-36-303-008,,10000%,,4 Overlook LLC,1.0000,,Blackstone Group,,JLL,,,,,,,,,Suburban,,5,1/1/2008,,Northwestern Memorial HealthCare,Hannay Realty Advisors,Acquisition,42.245598,-87.903091,No,No
28622,Office,Office,Sold,,,9/4/2018,231 N Martingale Rd,Schaumburg,Illinois,60173,Woodfield Pointe Office Center,Woodfield Pointe Office Center,Chicago,Northwest,Schaumburg,A,Existing,,"317,198","317,198","$136,100,000",No,Yes,No,,,860.0%,10000%,,GLL Real Estate Partners,1.0000,,"M&J Wilkow, Cargill Value Investment",,,,,,,,,,,Suburban,,11,1/1/1987,1/1/2007,Tishman Speyer,CBRE,Recapitalization,42.033398,-88.032898,No,No
4844,Office,Office,Sold,,,9/1/2018,303 E Wacker Dr,Chicago,Illinois,60601,303 East Wacker,,Chicago,East Loop,,A,Existing,,"861,000","859,187","$11,950,000",No,No,No,,17-10-318-001-0000,569.0%,6900%,,Sperry Equities,1.0000,,Wells Fargo,,,,,,,,,,,CBD,,30,1/1/1979,,Cushman & Wakefield,Sterling Bay,Acquisition,41.887276,-87.620159,No,Yes
28337,Office,Office,Sold,,,8/1/2018,1701 Golf Rd,Rolling Meadows,Illinois,60008,Tower I,Continental Towers,Chicago,Northwest,,A,Existing,,"280,000","280,448","$67,650,000",Yes,Yes,No,,08-16-100-034-0000,880.0%,0%,,"Golub & Company, Alcion Ventures",1.0000,,Copley Memorial Hospital Inc,,,,,,,,,,,Suburban,,12,1/1/1978,,NAI Global,Lincoln Property Company,Acquisition,42.050023,-87.999367,No,No
28338,Office,Office,Sold,,,8/1/2018,1701 Golf Rd,Rolling Meadows,Illinois,60008,Tower II,Continental Towers,Chicago,Northwest,,A,Existing,,"281,528","281,528","$27,250,000",Yes,Yes,No,,22-29-222-062-0000,880.0%,10000%,,Dougherty Real Estate Equity Advisors LLC,1.0000,,Blackstone Group,,,,,,,,,,,Suburban,,12,1/1/1980,,Cushman & Wakefield,JLL,Acquisition,42.050023,-87.999367,No,No
28339,Office,Mixed-Use,Sold,,,8/1/2018,1701 Golf Rd,Rolling Meadows,Illinois,60008,Continental Tower III,Continental Towers,Chicago,Northwest,,A,Existing,,"275,873","259,164","$17,848,058",Yes,Yes,No,,08-16-100-034-0000,880.0%,7430%,,"PGIM Real Estate, Panattoni Development Company",1.0000,,Equity Commonwealth,,,,,,,,,,,Suburban,,12,1/1/1982,,NAI Hiffman,Zeller Realty Group,Acquisition,42.050023,-87.999367,No,No
29399,Office,Office,Sold,4/1/2018,,7/1/2018,8750 W Bryn Mawr Ave,Chicago,Illinois,60631,Triangle Plaza,Triangle Plaza,Chicago,O'Hare,,A,Existing,,"316,022","311,862","$17,700,000",Yes,Yes,No,,12-02-302-021-0000,710.0%,6500%,,"Lowe Enterprises, GE Capital",1.0000,,MetLife,,CBRE,,,,,,,,,Suburban,,14,1/1/1985,1/1/2006,Lexington Realty Trust,Zeller Realty Group,Acquisition,41.981624,-87.844424,No,No
29402,Office,Office,Sold,4/1/2018,,7/1/2018,8770 W Bryn Mawr Ave,Chicago,Illinois,60631,Triangle Plaza West Tower,Triangle Plaza,Chicago,O'Hare,,A,Existing,Multi-Tenant,"315,423","315,423","$33,011,227",Yes,Yes,No,,12-02-302-021-0000,710.0%,9800%,,Intercontinental Real Estate,1.0000,,American National Bank & Trust,,CBRE,,,,,,,,,Suburban,,14,1/1/1985,1/1/2006,Saletta Commercial Realty LLC,Walton Street Capital,Acquisition,41.983078,-87.845328,No,No
29069,Office,Office,Sold,,,7/1/2018,5202 Old Orchard Rd,Skokie,Illinois,60077,Old Orchard Tower,Old Orchard Towers,Chicago,North Cook County,,A,Existing,,"168,049","168,049","$29,942,640",No,No,No,,10-09-102-063-0000,,9030%,,Millbrook Real Estate Company,1.0000,,GE Capital,,,,,,,,,,,Suburban,,7,1/1/1983,5/1/2006,Cushman & Wakefield,NAI Hiffman,Acquisition,42.064905,-87.757082,No,No
5080,Office,Office,Sold,,,6/28/2018,400 N Michigan Ave,Chicago,Illinois,60611,Wrigley South Tower,Wrigley Building,Chicago,North Michigan Avenue,,A,Existing,,"161,262","161,262","$148,000,000",Yes,Yes,No,,03-09-200-018-1019,385.0%,9060%,,IL-Pointe O'Hare Office,1.0000,,JP Morgan Chase & Company,,Cushman & Wakefield,,,,,,,,,CBD,,27,1/1/1921,1/1/2015,JLL,CBRE,Acquisition,41.88941,-87.625053,No,No
5137,Office,Office,Sold,,,6/28/2018,410 N Michigan Ave,Chicago,Illinois,60611,Wrigley North Tower,Wrigley Building,Chicago,North Michigan Avenue,,A,Existing,,"311,377","311,377","$8,101,430",Yes,Yes,No,,07-17-113-015-0000,385.0%,9480%,,The Davis Companies,1.0000,,Blackstone Group,,Cushman & Wakefield,,,,,,,,,CBD,,18,1/1/1924,1/1/2015,JLL,,Acquisition,41.889923,-87.624751,No,No
28314,Office,Office,Sold,,,6/12/2018,1603 Orrington Ave,Evanston,Illinois,60201,Orrington Plaza,,Chicago,North Cook County,Evanston,A,Existing,,"339,050","307,528","$22,500,000",No,No,No,,11-18-306-032-0000,,10000%,,"Harbor Group International, Electra Ltd",1.0000,,"Hewitt Properties I, LLC",,CBRE,,,,,,,,,Suburban,,20,1/1/1969,1/1/1999,CBRE,Lincoln Property Company,Acquisition,42.04673,-87.680557,No,No
28217,Office,Office,Sold,,,6/7/2018,1400 American Ln,Schaumburg,Illinois,60173,Schaumburg Towers I,Schaumburg Towers,Chicago,Northwest,Schaumburg,A,Existing,Multi-Tenant,"441,531","441,531","$39,190,738",Yes,Yes,No,,07-13-103-012-0000,,4480%,,"GlenStar Properties, Walton Street Capital",1.0000,,SEB Investment GmbH,,CBRE,,,,,,,,,Suburban,,20,1/1/1986,1/1/2004,,Northwestern Lake Forest Hospital,Acquisition,42.044876,-88.04372,No,No
28249,Office,Office,Sold,,,6/7/2018,1450 American Ln,Schaumburg,Illinois,60173,Schaumburg Towers II,Schaumburg Towers,Chicago,Northwest,Schaumburg,A,Existing,Multi-Tenant,"440,538","440,538","$306,268,431",Yes,Yes,No,,07-13-103-012-0000,,2360%,,Adventus Realty Trust,1.0000,,Blackstone Group,,CBRE,,,,,,,,,Suburban,,20,1/1/1988,1/1/2004,Telos Group,Cushman & Wakefield,Acquisition,42.046811,-88.04392,No,No
28717,Office,Office,Sold,,,4/23/2018,263 Shuman Blvd,Naperville,Illinois,60563,Shuman Boulevard 263,The Shuman,Chicago,Western East-West,,A,Existing,,"354,000","350,461","$137,000,000",No,No,No,15,07-01-400-034,,0%,,"Westwind, KanAm Group",1.0000,,Hines,,,,,,,,,,,Suburban,,5,1/1/1986,3/1/2019,NAI Global,Ondeo Nalco Center,Acquisition,41.804726,-88.151451,No,No
27978,Office,Office,Sold,,,4/4/2018,1 Westbrook Corporate Ctr,Westchester,Illinois,60154,Westbrook Tower I,Westbrook Corporate Center,Chicago,Eastern East-West,,A,Existing,,"1,100,000","229,048","$77,133,848",No,No,No,,15-30-200-045-0000,,8100%,,"Hearn Company, GEM Realty Capital, Farallon Capital",1.0000,,"Lowe Enterprises, GE Capital",,Eastdil Secured,,,,,,,,,Suburban,,10,1/1/1985,,Oak Street Real Estate Capital,Lincoln Property Company,Acquisition,41.845605,-87.902215,No,No
4172,Office,Office,Sold,,,4/1/2018,175 W Jackson Blvd,Chicago,Illinois,60604,175 West Jackson,,Chicago,Central Loop,,A,Existing,Multi-Tenant,"1,447,719","1,452,390","$153,236,352",No,No,No,,17-16-229-001-0000,558.0%,6700%,Value-add,"Mount Kellett Capital Management, Hearn Company, Lynd",1.0000,,RPAI,,JLL,,,,,,,,,CBD,,23,1/1/1912,,Lincoln Property Company,Hines,Acquisition,41.877781,-87.628456,No,No
29388,Office,Office,Sold,,,4/1/2018,8600 W Bryn Mawr Ave,Chicago,Illinois,60631,Presidents Plaza I,Presidents Plaza,Chicago,O'Hare,,A,Existing,,"409,000","409,000","$13,275,000",Yes,Yes,No,,12-02-302-018-0000,,9640%,,Brandywine Realty Trust,1.0000,,Medline Industries,,JLL,,,,,,,,,Suburban,,12,1/1/1980,1/1/2011,CBRE,Cushman & Wakefield,Acquisition,41.982468,-87.842055,No,No
29393,Office,Office,Sold,,,4/1/2018,8700 W Bryn Mawr Ave,Chicago,Illinois,60631,Presidents Plaza II,Presidents Plaza,Chicago,O'Hare,,A,Existing,,"409,000","431,346","$16,750,000",Yes,Yes,No,,12-02-302-019-0000,,8190%,,"Marc Realty, Sterling Bay",1.0000,,"Harbor Group International, Electra Ltd",,JLL,,,,,,,,,Suburban,,12,1/1/1983,1/1/2011,NAI Hiffman,Hearn Company,Acquisition,41.982778,-87.843301,No,No
28056,Office,Office,Sold,7/1/2018,,4/1/2018,1033 University Pl,Evanston,Illinois,60201,University Place,Evanston Research Park,Chicago,North Cook County,Evanston,A,Existing,Multi-Tenant,"55,685","55,685","$47,000,000",No,Yes,No,,11-18-112-021-0000,,9510%,,"Golub & Associates, TFO Reva Golub IT LLC",1.0000,,Griffin Capital Corporation,,CBRE,,,,,,,,,Suburban,,4,1/1/1991,,Cushman & Wakefield,,Acquisition,42.051098,-87.685918,No,No
4216,Office,Office,Sold,,,3/19/2018,180 N Stetson Ave,Chicago,Illinois,60601,Two Prudential Plaza,Prudential Plaza,Chicago,East Loop,,A,Existing,Multi-Tenant,"976,107","978,515",$0,Yes,Yes,No,,03-14-200-014-0000,,8890%,Core,"American Realty Capital Healthcare Trust III, Inc.","0.8000, 0.2000",",",Trizec Properties,,JLL,,,,,,,,,CBD,,61,1/1/1990,1/1/2017,Colliers International,Parkway Realty Services,Acquisition,41.88535,-87.622354,No,No
3702,Office,Office,Sold,,,3/19/2018,130 E Randolph St,Chicago,Illinois,60601,One Prudential Plaza,Prudential Plaza,Chicago,East Loop,,A,Existing,Multi-Tenant,"1,226,092","1,226,092","$679,995,180",Yes,Yes,No,,17-10-313-003-0000,,9150%,Core,Barings Real Estate Advisors,"0.8000, 0.2000",",",Duke Realty Corporation,,JLL,,,,,,,,,CBD,,41,1/1/1955,1/1/2015,Lincoln Property Company,EQ Office,Acquisition,41.884841,-87.623262,No,No
5459,Office,Office,Sold,,,3/1/2018,550 W Jackson Blvd,Chicago,Illinois,60661,550 West Jackson,,Chicago,West Loop,,A,Existing,Multi-Tenant,"406,041","405,000","$34,622,894",No,No,No,,17-16-113-002-0000,,5330%,Value-add,American Realty Advisors,1.0000,,Wells Fargo,,,,,,,,,,,CBD,,18,1/1/2001,,JLL,Lincoln Property Company,Recapitalization,41.878299,-87.641727,No,No
28935,Office,Office,Sold,,,1/31/2018,400 Skokie Blvd,Northbrook,Illinois,60062,The 400 Building,,Chicago,North Cook County,,A,Existing,Multi-Tenant,"195,326","195,326","$310,000,000",No,No,No,,04-02-402-029-0000,,7720%,,Travelers Insurance,1.0000,,American Realty Advisors,First Midwest Bank,Podolsky Circle CORFAC International,,,,,,,,,Suburban,,8,1/1/1984,1/1/1993,GlenStar Properties,Cushman & Wakefield,Acquisition,42.143986,-87.796913,No,No
335620,Office,Creative,Sold,,,1/29/2018,215 N Peoria St,Chicago,Illinois,60607,Fulton East,,Chicago,Fulton Market,,A,Under Construction,,"3,165","115,200","$17,514,250",No,No,No,,,,0%,Opportunistic,Barings Real Estate Advisors,"0.5000, 0.5000",",","Blackstone Group, JP Morgan Chase & Company",,,,,,,,,,,CBD,,12,2/1/2020,,Tishman Speyer,JLL,Acquisition,41.886224,-87.649546,No,No
3538,Office,Office,Sold,,,12/29/2017,120 N LaSalle St,Chicago,Illinois,60602,120 North LaSalle,,Chicago,Central Loop,,A,Existing,Multi-Tenant,"383,446","383,446","$9,540,579",No,No,No,,17-09-446-016-0000,515.0%,8800%,,AEW Capital Management,"0.5000, 0.5000",",",GRE Prairie Glen,,Eastdil Secured,,,,,,,,,CBD,,40,1/1/1991,,MB Real Estate Services,JLL,Acquisition,41.883716,-87.632972,No,No
28444,Office,Office,Sold,,,12/21/2017,1901 N Roselle Rd,Schaumburg,Illinois,60173,Chatham Centre,,Chicago,Northwest,Schaumburg,A,Existing,Multi-Tenant,"205,614","205,614","$50,065,174",No,No,No,,07-10-200-016-0000,,6720%,,"601W Companies, David Werner Real Estate, Gotham Realty",1.0000,,DekaBank,,CBRE,,,,,,,,,Suburban,,10,1/1/1990,,NAI Global,Lincoln Property Company,Acquisition,42.06142,-88.07811,No,No
28865,Office,Office,Sold,,,12/20/2017,3333 Warrenville Rd,Lisle,Illinois,60532,Central Park of Lisle II,Central Park of Lisle,Chicago,Western East-West,,A,Existing,Multi-Tenant,"311,912","311,912","$8,989,500",No,Yes,No,,08-05-203-016,,9690%,,Cole Credit Property Trust III,"0.5000, 0.2500, 0.2500",", ,",Aspen Capital,HFF (dba JLL),HFF (dba JLL),,,,,,,,,Suburban,,8,1/1/2000,,Cushman & Wakefield,Tishman Speyer,Acquisition,41.80889,-88.11638,No,No
28964,Office,Office,Sold,,,12/20/2017,4225 Naperville Rd,Lisle,Illinois,60532,Central Park of Lisle I,Central Park of Lisle,Chicago,Western East-West,,A,Existing,Multi-Tenant,"310,375","310,375","$57,015,477",No,Yes,No,,08-05-203-014,,8680%,,Zeller Realty Group,"0.5000, 0.2500, 0.2500",", ,",M&J Wilkow,HFF (dba JLL),HFF (dba JLL),,,,,,,,,Suburban,,6,1/1/1990,,Lincoln Property Company,Cushman & Wakefield,Acquisition,41.807141,-88.116521,No,No
27970,Office,Office,Sold,,,12/14/2017,1 Parkway N,Deerfield,Illinois,60015,One Parkway North,Parkway North Center,Chicago,North Lake County,,A,Existing,Multi-Tenant,"271,500","271,500","$185,000,000",No,No,No,,16-31-212-004,,9260%,,Blackstone Group,1.0000,,Cargill Financial,,HFF (dba JLL),,,,,,,,,Suburban,,5,1/1/1988,1/1/2016,Oak Street Real Estate Capital,JLL,Acquisition,42.164154,-87.876648,No,No
28011,Office,Office,Sold,,,12/1/2017,1000 Milwaukee Ave,Glenview,Illinois,60025,,,Chicago,North Cook County,,A,Demolished,,"405,039","405,039","$19,937,611",No,No,No,,04-32-105-007-0000,,0%,,"Sovereign Partners, LLC",1.0000,,Davis Street Land Company,,,,,,,,,,,Suburban,,6,1/1/1975,,Hamilton Partners,JLL,Acquisition,42.074833,-87.864646,No,No
28557,Office,Office,Sold,,,11/19/2017,2121 Waukegan Rd,Bannockburn,Illinois,60015,Bannockburn Lakes V,Bannockburn Lake Office Plaza,Chicago,North Lake County,,A,Existing,Multi-Tenant,"103,500","103,500","$42,612,207",No,No,No,,16-20-200-038,,4600%,,Planmeca USA Inc,"0.5000, 0.5000",",",Trizec Properties,,,,,,,,,,,Suburban,,3,1/1/1987,,NAI Global,JLL,Acquisition,42.192238,-87.854882,No,No
